
2024/01/20 (21:16:26) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/20 (21:16:26) | DEBUG: Shared::init() : Initialized.
2024/01/20 (21:16:26) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2024/01/20 (21:20:35) | ===> btop++ v.1.3.0
2024/01/20 (21:20:35) | INFO: Logger set to DEBUG
2024/01/20 (21:20:35) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/20 (21:20:35) | INFO: Running on /dev/pts/10
2024/01/20 (21:20:35) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/01/20 (21:20:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/20 (21:20:35) | DEBUG: Shared::init() : Initialized.
2024/01/20 (21:20:35) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2024/01/20 (22:54:09) | ===> btop++ v.1.3.0
2024/01/20 (22:54:09) | INFO: Logger set to DEBUG
2024/01/20 (22:54:09) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/20 (22:54:09) | INFO: Running on /dev/pts/0
2024/01/20 (22:54:09) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/01/20 (22:54:09) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/20 (22:54:09) | DEBUG: Shared::init() : Initialized.
2024/01/20 (22:54:09) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2024/01/20 (22:54:31) | INFO: Quitting! Runtime: 00:00:22

2024/01/22 (00:23:28) | ===> btop++ v.1.3.0
2024/01/22 (00:23:28) | INFO: Logger set to DEBUG
2024/01/22 (00:23:28) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/22 (00:23:28) | INFO: Running on /dev/pts/1
2024/01/22 (00:23:28) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/01/22 (00:23:28) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/22 (00:23:28) | DEBUG: Shared::init() : Initialized.
2024/01/22 (00:23:28) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2024/01/24 (03:18:25) | ===> btop++ v.1.3.0
2024/01/24 (03:18:25) | INFO: Logger set to DEBUG
2024/01/24 (03:18:25) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/24 (03:18:25) | INFO: Running on /dev/pts/8
2024/01/24 (03:18:25) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
